,node_idx,assignment,description
0,58,0,Z
1,75,0,8_0_start
2,83,0,9_0_start
3,55,75,9_4_start
4,76,75,9_2_start
5,88,75,8_4_start
6,97,90,9_0_finish
7,125,106,9_2_finish
8,118,111,8_0_finish
9,56,118,9_4_finish
10,90,131,8_10_start
11,96,131,9_1_start
12,100,131,1_0_start
13,132,145,9_1_finish
14,22,156,8_4_finish
15,46,156,8_10_finish
16,99,237,1_0_finish
17,0,237,0_0_start
18,38,310,0_0_finish
19,73,317,1_7_start
20,107,317,3_0_start
21,12,447,1_7_finish
22,93,464,3_1_start
23,113,464,3_2_start
24,94,463,3_0_finish
25,116,463,7_0_start
26,8,633,7_7_start
27,106,476,3_1_finish
28,168,487,3_2_finish
29,45,648,7_10_start
30,159,631,7_0_finish
31,26,631,6_0_start
32,6,703,6_1_start
33,14,675,7_7_finish
34,65,675,7_2_start
35,68,675,7_4_start
36,72,675,7_8_start
37,77,675,7_12_start
38,101,675,7_15_start
39,149,690,7_10_finish
40,24,713,7_8_finish
41,86,713,8_8_start
42,164,751,7_2_finish
43,20,751,8_8_finish
44,128,767,7_12_finish
45,192,765,6_1_finish
46,5,781,6_2_start
47,178,785,6_0_finish
48,177,804,6_2_finish
49,123,804,7_15_finish
50,15,804,7_4_finish
51,44,804,3_5_start
52,112,813,6_11_start
53,140,813,5_0_start
54,189,882,5_0_finish
55,11,882,2_0_start
56,52,900,3_5_finish
57,70,928,6_11_finish
58,17,998,2_2_start
59,25,998,5_5_start
60,35,998,5_4_start
61,137,998,5_3_start
62,138,998,5_2_start
63,142,998,5_1_start
64,144,998,0_4_start
65,152,998,9_5_start
66,157,998,7_11_start
67,158,998,7_1_start
68,145,1028,0_4_finish
69,92,1027,5_1_finish
70,1,1027,2_0_finish
71,154,1027,4_0_start
72,64,1036,7_1_finish
73,122,1052,7_11_finish
74,42,1048,5_3_finish
75,182,1048,5_4_finish
76,2,1048,7_6_start
77,23,1053,2_2_finish
78,27,1053,6_3_start
79,179,1067,5_2_finish
80,13,1081,7_6_finish
81,28,1085,4_1_start
82,31,1085,4_2_start
83,34,1085,4_4_start
84,63,1085,2_5_start
85,150,1083,9_5_finish
86,71,1083,5_5_finish
87,78,1083,1_3_start
88,102,1083,7_14_start
89,114,1083,2_7_start
90,155,1083,7_9_start
91,160,1083,2_4_start
92,163,1083,2_6_start
93,165,1083,7_3_start
94,166,1083,0_2_start
95,169,1083,8_13_start
96,173,1083,9_3_start
97,176,1083,7_13_start
98,180,1083,8_1_start
99,185,1083,8_9_start
100,66,1105,7_3_finish
101,16,1105,2_1_start
102,41,1114,0_2_finish
103,133,1110,8_1_finish
104,103,1110,1_1_start
105,104,1124,7_14_finish
106,62,1124,2_5_finish
107,161,1124,2_4_finish
108,162,1124,2_6_finish
109,49,1124,8_2_start
110,126,1121,9_3_finish
111,10,1121,7_5_start
112,84,1121,8_12_start
113,87,1121,8_6_start
114,188,1121,8_5_start
115,9,1135,2_1_finish
116,105,1135,7_13_finish
117,181,1135,8_3_start
118,187,1135,8_11_start
119,54,1142,1_3_finish
120,67,1142,6_3_finish
121,3,1143,8_6_finish
122,33,1143,8_5_finish
123,79,1143,4_1_finish
124,50,1148,7_9_finish
125,18,1154,7_5_finish
126,146,1154,8_2_finish
127,127,1163,1_1_finish
128,32,1161,8_9_finish
129,36,1167,8_3_finish
130,121,1173,8_12_finish
131,108,1181,2_7_finish
132,130,1197,8_11_finish
133,7,1197,4_2_finish
134,171,1196,4_0_finish
135,19,1207,4_5_start
136,29,1207,6_4_start
137,53,1207,1_5_start
138,61,1207,2_3_start
139,80,1207,0_1_start
140,82,1207,0_7_start
141,85,1207,0_5_start
142,170,1207,4_4_finish
143,136,1207,8_13_finish
144,119,1207,6_8_start
145,74,1226,4_5_finish
146,39,1228,0_1_finish
147,124,1228,6_7_start
148,135,1236,0_5_finish
149,175,1236,6_4_finish
150,48,1236,4_7_start
151,115,1236,4_9_start
152,139,1237,4_11_start
153,148,1237,1_4_start
154,153,1237,3_4_start
155,172,1237,1_6_start
156,174,1237,1_2_start
157,191,1237,4_3_start
158,57,1256,2_3_finish
159,4,1255,4_3_finish
160,184,1255,8_7_start
161,59,1258,1_5_finish
162,110,1258,6_9_start
163,69,1262,6_7_finish
164,47,1268,4_7_finish
165,89,1268,4_9_finish
166,147,1277,3_4_finish
167,111,1277,6_8_finish
168,51,1277,6_6_start
169,30,1280,8_7_finish
170,117,1280,3_3_start
171,129,1287,1_2_finish
172,21,1287,1_6_finish
173,134,1287,4_8_start
174,167,1287,0_6_start
175,98,1295,6_9_finish
176,156,1312,6_6_finish
177,141,1312,4_10_start
178,186,1318,4_8_finish
179,60,1318,3_3_finish
180,81,1318,0_3_start
181,131,1307,0_7_finish
182,120,1315,0_6_finish
183,95,1315,6_10_start
184,91,1337,4_11_finish
185,190,1343,4_10_finish
186,109,1351,6_10_finish
187,40,1351,0_3_finish
188,151,1351,6_5_start
189,143,1368,1_4_finish
190,37,1368,4_6_start
191,43,1375,6_5_finish
192,183,1408,4_6_finish
